node6  | [entrypoint] Starting ADVERSARY node node6
node6  | 09:45:24 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=11 digest=deadbeef… to node4
node6  | 09:45:24 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=11 digest=deadbeef… to node5
node6  | 09:45:24 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent forged PRE-PREPARE to node5 seq=11
node6  | 09:45:25 [node6[ADVERSARY]] WARNING [ADVERSARY] Equivocating PREPARE for seq=12
node6  | 09:45:25 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=12 digest=f85dfb2d… to node1
node6  | 09:45:25 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=12 digest=f85dfb2d… to node2
node6  | 09:45:25 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=12 digest=deadbeef… to node3
node6  | 09:45:25 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=12 digest=deadbeef… to node4
node6  | 09:45:25 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=12 digest=deadbeef… to node5
node6  | 09:45:25 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent forged PRE-PREPARE to node5 seq=12
node6  | 09:45:26 [node6[ADVERSARY]] WARNING [ADVERSARY] Equivocating PREPARE for seq=13
node6  | 09:45:26 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=13 digest=666aa2ef… to node1
node6  | 09:45:26 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=13 digest=666aa2ef… to node2
node6  | 09:45:26 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=13 digest=deadbeef… to node3
node6  | 09:45:26 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=13 digest=deadbeef… to node4
node6  | 09:45:26 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=13 digest=deadbeef… to node5
node6  | 09:45:26 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent forged PRE-PREPARE to node5 seq=13
node6  | 09:45:27 [node6[ADVERSARY]] WARNING [ADVERSARY] Equivocating PREPARE for seq=14
node6  | 09:45:27 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=14 digest=ff54c1d4… to node1
node6  | 09:45:27 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=14 digest=ff54c1d4… to node2
node6  | 09:45:27 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=14 digest=deadbeef… to node3
node6  | 09:45:27 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=14 digest=deadbeef… to node4
node6  | 09:45:27 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=14 digest=deadbeef… to node5
node6  | 09:45:27 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent forged PRE-PREPARE to node3 seq=14
node6  | 09:45:28 [node6[ADVERSARY]] WARNING [ADVERSARY] Equivocating PREPARE for seq=15
node6  | 09:45:28 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=15 digest=b3cd9de3… to node1
node6  | 09:45:28 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=15 digest=b3cd9de3… to node2
node6  | 09:45:28 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=15 digest=deadbeef… to node3
node6  | 09:45:28 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=15 digest=deadbeef… to node4
node6  | 09:45:28 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=15 digest=deadbeef… to node5
node6  | 09:45:28 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent forged PRE-PREPARE to node5 seq=15
node6  | 09:45:29 [node6[ADVERSARY]] WARNING [ADVERSARY] Equivocating PREPARE for seq=16
node6  | 09:45:29 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=16 digest=10ba63e6… to node1
node6  | 09:45:29 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=16 digest=10ba63e6… to node2
node6  | 09:45:29 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=16 digest=deadbeef… to node3
node6  | 09:45:29 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=16 digest=deadbeef… to node4
node6  | 09:45:29 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=16 digest=deadbeef… to node5
node6  | 09:45:29 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent forged PRE-PREPARE to node4 seq=16
node6  | 09:45:30 [node6[ADVERSARY]] WARNING [ADVERSARY] Equivocating PREPARE for seq=17
node6  | 09:45:30 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=17 digest=fbd69634… to node1
node6  | 09:45:30 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=17 digest=fbd69634… to node2
node6  | 09:45:30 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=17 digest=deadbeef… to node3
node6  | 09:45:30 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=17 digest=deadbeef… to node4
node6  | 09:45:30 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=17 digest=deadbeef… to node5
node6  | 09:45:30 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent forged PRE-PREPARE to node5 seq=17
node6  | 09:45:31 [node6[ADVERSARY]] WARNING [ADVERSARY] Equivocating PREPARE for seq=18
node6  | 09:45:31 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=18 digest=1cc0ca3a… to node1
node6  | 09:45:31 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=18 digest=1cc0ca3a… to node2
node6  | 09:45:31 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=18 digest=deadbeef… to node3
node6  | 09:45:31 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=18 digest=deadbeef… to node4
node6  | 09:45:31 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=18 digest=deadbeef… to node5
